"code_muni","year","biome","LV","LTA","UR","SDII","TASMAX","TASMIN","PREC_MEAN","PREC_SUM"
"3519071",2003,"Mata Atlantica",0,0,79.3433333333333,4.625,25.0816666666667,17.4016666666667,4.06333333333333,123.095833333333
"3519105",2003,"Cerrado",0,0,64.1708333333333,4.69166666666667,29.7708333333333,17.2875,4.07666666666667,124.3575
"3519204",2003,"Mata Atlantica",0,0,63.8025,4.65833333333333,29.5741666666667,17.6725,3.78083333333333,114.726666666667
"3519253",2003,"Cerrado",0,0,63.9366666666667,4.45,29.36,14.8766666666667,5.12166666666667,155.134166666667
"3519303",2003,"Cerrado",0,0,64.1833333333333,4.53333333333333,28.9725,14.83,4.8975,148.316666666667
"3519402",2003,"Mata Atlantica",0,0,71.21,4.71666666666667,25.9641666666667,15.0708333333333,5.02583333333333,152.3625
"3519501",2003,"Mata Atlantica",0,0,76.0991666666667,4.94166666666667,24.5175,14.8375,5.05916666666667,154.323333333333
"3519600",2003,"Cerrado",0,0,77.1066666666667,5.03333333333333,24.3366666666667,15.07,4.83,146.904166666667
"3519808",2003,"Cerrado",0,0,72.3516666666667,4.575,26.2658333333333,17.2091666666667,4.3,130.115
"3519907",2003,"Mata Atlantica",0,0,71.67,4.24166666666667,26.6575,17.0933333333333,4.02166666666667,121.765833333333
"3520004",2003,"Cerrado",0,0,69.4866666666667,4.53333333333333,27.0966666666667,17.3625,4.155,125.770833333333
"3520103",2003,"Cerrado",0,NA,78.0375,4.425,25.2033333333333,17.0583333333333,4.16583333333333,127.08
"3520202",2003,"Mata Atlantica",0,0,65.005,4.58333333333333,29.1258333333333,17.45,4.13916666666667,125.5
"3520301",2003,"Mata Atlantica",0,0,64.7425,4.525,28.915,18.7575,4.22083333333333,127.700833333333
"3520426",2003,"Mata Atlantica",0,0,70.9458333333333,4.59166666666667,26.375,18.6425,4.07166666666667,123.235833333333
"3520400",2003,"Mata Atlantica",0,0,65.2883333333333,4.75,28.585,18.8875,4.13583333333333,125.273333333333
"3520509",2003,"Mata Atlantica",0,0,80.7,4.85,24.41,18.6108333333333,4.135,126.149166666667
"3520608",2003,"Mata Atlantica",0,0,64.9733333333333,4.65833333333333,29.4933333333333,18.9983333333333,4.125,124.9625
"3520707",2003,"Mata Atlantica",0,0,65.5266666666667,4.66666666666667,28.8158333333333,16.2975,4.06583333333333,122.975833333333
"3520806",2003,"Mata Atlantica",0,0,67.6141666666667,4.60833333333333,27.6508333333333,16.21,3.80833333333333,115.191666666667
"3520905",2003,"Mata Atlantica",0,0,70.3083333333333,4.63333333333333,26.89,16.4608333333333,3.88166666666667,117.6
"3521002",2003,"Mata Atlantica",0,0,71.8891666666667,4.31666666666667,26.2066666666667,16.1408333333333,3.9325,119.9925
"3521101",2003,"Cerrado",0,0,68.5125,4.79166666666667,27.4158333333333,16.5283333333333,3.92666666666667,119.2175
"3521150",2003,"Cerrado",0,0,65.0675,4.475,29.425,19.35,4.18583333333333,126.746666666667
"3521200",2003,"Mata Atlantica",0,0,76.5425,4.725,24.84,19.195,4.00583333333333,121.390833333333
"3521309",2003,"Cerrado",0,0,70.64,4.73333333333333,26.6266666666667,19.465,3.9875,120.7525
"3521408",2003,"Mata Atlantica",0,0,64.0525,4.40833333333333,29.765,19.2716666666667,4.22916666666667,128.915
"3521507",2003,"Mata Atlantica",0,0,77.4283333333333,4.55833333333333,25.0141666666667,19.5883333333333,4.03583333333333,122.414166666667
"3521606",2003,"Mata Atlantica",0,0,72.8975,4.35833333333333,26.3241666666667,19.1241666666667,4.03166666666667,121.866666666667
"3521705",2003,"Cerrado",0,0,66.4591666666667,4.54166666666667,28.5041666666667,19.0208333333333,3.88,117.448333333333
"3521804",2003,"Cerrado",0,0,84.4541666666667,6.28333333333333,23.555,19.2466666666667,3.97833333333333,120.4275
"3521903",2003,"Mata Atlantica",0,0,63.4758333333333,4.51666666666667,29.8766666666667,18.9683333333333,3.93416666666667,120.058333333333
"3522000",2003,"Cerrado",0,0,85.4208333333333,4.85833333333333,23.1691666666667,19.3608333333333,3.9725,120.345
"3522109",2003,"Mata Atlantica",0,0,81.8675,5.05833333333333,24.12,19.1116666666667,3.99583333333333,120.865833333333
"3522158",2003,"Mata Atlantica",0,0,63.8733333333333,4.54166666666667,29.5358333333333,18.9958333333333,3.915,118.5375
"3522208",2003,"Mata Atlantica",0,0,78.7833333333333,4.56666666666667,24.9533333333333,19.2325,3.98416666666667,120.610833333333
"3522307",2003,"Mata Atlantica",0,0,65.9283333333333,4.31666666666667,27.8741666666667,18.9633333333333,3.9575,120.710833333333
"3522406",2003,"Cerrado",0,0,75.255,4.5,25.4616666666667,19.3516666666667,3.97416666666667,120.4525
"3522505",2003,"Mata Atlantica",0,0,83.85,7.625,24.1308333333333,18.7958333333333,4.14416666666667,125.365833333333
"3522604",2003,"Cerrado",0,0,69.425,4.73333333333333,27.1375,18.5858333333333,4.0325,122.163333333333
"3522653",2003,"Mata Atlantica",0,0,71.2958333333333,4.475,26.2608333333333,18.8725,4.09083333333333,123.949166666667
"3522703",2003,"Cerrado",0,0,64.9725,4.64166666666667,28.7208333333333,18.7083333333333,4.03833333333333,123.118333333333
"3522802",2003,"Mata Atlantica",0,0,67.5791666666667,4.375,27.6083333333333,19.0325,3.94333333333333,119.674166666667
"3522901",2003,"Mata Atlantica",0,0,84.7366666666667,6.40833333333333,23.5325,17.9175,4.28583333333333,129.705833333333
"3523008",2003,"Mata Atlantica",0,0,71.7366666666667,4.64166666666667,26.5241666666667,17.7083333333333,4.16583333333333,126.259166666667
"3523107",2003,"Mata Atlantica",0,0,65.3591666666667,4.76666666666667,28.3891666666667,17.995,4.13166666666667,125.214166666667
"3523206",2003,"Cerrado",0,0,72.6183333333333,4.45833333333333,25.8291666666667,17.7941666666667,4.3125,131.6125
