"code_muni","year","PREC_MEAN"
"2706448",2005,6.33333333333333
"2706505",2001,7.38916666666667
"2706505",2002,6.775
"2706505",2003,6.67083333333333
"2706505",2004,6.7325
"2706505",2005,6.51666666666667
"2706604",2001,5.965
"2706604",2002,5.32333333333333
"2706604",2003,5.4675
"2706604",2004,5.8375
"2706604",2005,5.78083333333333
"2706703",2001,6.68
"2706703",2002,6.10083333333333
"2706703",2003,6.45416666666667
"2706703",2004,6.3425
"2706703",2005,5.97916666666667
"2706802",2001,6.83
"2706802",2002,6.11083333333333
"2706802",2003,6.70083333333333
"2706802",2004,6.37916666666667
"2706802",2005,5.73
"2706901",2001,6.96916666666667
"2706901",2002,6.39833333333333
"2706901",2003,6.5425
"2706901",2004,6.53583333333333
"2706901",2005,6.21583333333333
"2707008",2001,6.38916666666667
"2707008",2002,5.78083333333333
"2707008",2003,5.8875
"2707008",2004,6.1425
"2707008",2005,6.01916666666667
"2707107",2001,3.37416666666667
"2707107",2002,2.87083333333333
"2707107",2003,3.27833333333333
"2707107",2004,3.36416666666667
"2707107",2005,2.9925
"2707206",2001,3.51166666666667
"2707206",2002,3.0175
"2707206",2003,3.35083333333333
"2707206",2004,3.48916666666667
"2707206",2005,3.13
"2707305",2001,7.59666666666667
"2707305",2002,7.02916666666667
"2707305",2003,6.78166666666667
"2707305",2004,6.86916666666667
"2707305",2005,6.63916666666667
"2707404",2001,7.29333333333333
"2707404",2002,6.695
"2707404",2003,6.56833333333333
"2707404",2004,6.57416666666667
"2707404",2005,6.26916666666667
"2707503",2001,5.93583333333333
"2707503",2002,5.40916666666667
"2707503",2003,5.71916666666667
"2707503",2004,5.70916666666667
"2707503",2005,5.37166666666667
"2707602",2001,5.965
"2707602",2002,5.32333333333333
"2707602",2003,5.4675
"2707602",2004,5.8375
"2707602",2005,5.78083333333333
"2707701",2001,7.07083333333333
"2707701",2002,6.46083333333333
"2707701",2003,6.4875
"2707701",2004,6.54166666666667
"2707701",2005,6.29416666666667
"2707800",2001,7.1225
"2707800",2002,6.56
"2707800",2003,6.78
"2707800",2004,6.62666666666667
"2707800",2005,6.17833333333333
"2707909",2001,6.90916666666667
"2707909",2002,6.30666666666667
"2707909",2003,6.43416666666667
"2707909",2004,6.37583333333333
"2707909",2005,5.98916666666667
"2708006",2001,4.04
"2708006",2002,3.575
"2708006",2003,3.765
"2708006",2004,4.00416666666667
"2708006",2005,3.70833333333333
"2708105",2001,6.14666666666667
"2708105",2002,5.54666666666667
"2708105",2003,5.59916666666667
"2708105",2004,5.99583333333333
"2708105",2005,5.82166666666667
"2708204",2001,5.82666666666667
"2708204",2002,5.3325
"2708204",2003,5.64416666666667
"2708204",2004,5.65916666666667
"2708204",2005,5.2575
"2708303",2001,6.22416666666667
"2708303",2002,5.66333333333333
"2708303",2003,5.6
"2708303",2004,6.05416666666667
"2708303",2005,5.93333333333333
"2708402",2001,3.6175
"2708402",2002,3.13416666666667
"2708402",2003,3.45583333333333
"2708402",2004,3.59166666666667
"2708402",2005,3.2625
"2708501",2001,7.38916666666667
"2708501",2002,6.775
"2708501",2003,6.67083333333333
"2708501",2004,6.7325
"2708501",2005,6.51666666666667
"2708600",2001,7.1225
"2708600",2002,6.56
"2708600",2003,6.78
"2708600",2004,6.62666666666667
"2708600",2005,6.17833333333333
"2708709",2001,6.99
"2708709",2002,6.35833333333333
"2708709",2003,6.35333333333333
"2708709",2004,6.28083333333333
"2708709",2005,5.9
"2708808",2001,6.68
"2708808",2002,6.10083333333333
"2708808",2003,6.45416666666667
"2708808",2004,6.3425
"2708808",2005,5.97916666666667
"2708907",2001,7.0875
"2708907",2002,6.49333333333333
"2708907",2003,6.58583333333333
"2708907",2004,6.57083333333333
"2708907",2005,6.25333333333333
"2708956",2001,3.51166666666667
"2708956",2002,3.0175
"2708956",2003,3.35083333333333
"2708956",2004,3.48916666666667
"2708956",2005,3.13
"2709004",2001,6.03666666666667
"2709004",2002,5.4575
"2709004",2003,5.65583333333333
"2709004",2004,5.88583333333333
"2709004",2005,5.745
"2709103",2001,6.03666666666667
"2709103",2002,5.4575
"2709103",2003,5.65583333333333
"2709103",2004,5.88583333333333
"2709103",2005,5.745
"2709152",2001,6.68
"2709152",2002,6.10083333333333
"2709152",2003,6.45416666666667
"2709152",2004,6.3425
"2709152",2005,5.97916666666667
"2709202",2001,5.18916666666667
"2709202",2002,4.71583333333333
"2709202",2003,4.9825
"2709202",2004,5.07666666666667
"2709202",2005,4.7625
"2709301",2001,6.52166666666667
"2709301",2002,5.95
"2709301",2003,5.95333333333333
"2709301",2004,6.25083333333333
"2709301",2005,6.09333333333333
"2709400",2001,6.38916666666667
"2709400",2002,5.78083333333333
"2709400",2003,5.8875
"2709400",2004,6.1425
"2709400",2005,6.01916666666667
"1300029",2001,6.2225
"1300029",2002,6.12083333333333
"1300029",2003,6.13333333333333
"1300029",2004,6.07166666666667
"1300029",2005,6.19
"1300060",2001,6.86916666666667
"1300060",2002,6.62
"1300060",2003,6.78666666666667
"1300060",2004,6.69833333333333
"1300060",2005,6.85333333333333
"1300086",2001,5.47416666666667
"1300086",2002,5.35416666666667
"1300086",2003,5.495
"1300086",2004,5.2575
"1300086",2005,5.455
"1300102",2001,5.58916666666667
"1300102",2002,5.39333333333333
"1300102",2003,5.63833333333333
"1300102",2004,5.43666666666667
"1300102",2005,5.6375
"1300144",2001,5.53916666666667
"1300144",2002,5.1025
"1300144",2003,5.30333333333333
"1300144",2004,5.2875
"1300144",2005,5.56416666666667
"1300201",2001,7.09166666666667
"1300201",2002,7.06333333333333
"1300201",2003,7.04833333333333
"1300201",2004,7.03916666666667
"1300201",2005,7.13166666666667
"1300300",2001,4.75083333333333
"1300300",2002,4.45166666666667
"1300300",2003,4.77166666666667
"1300300",2004,4.63833333333333
"1300300",2005,4.86583333333333
"1300409",2001,4.915
"1300409",2002,4.94166666666667
"1300409",2003,4.73666666666667
"1300409",2004,4.93583333333333
"1300409",2005,5.00166666666667
"1300508",2001,4.32166666666667
"1300508",2002,3.82666666666667
"1300508",2003,4.275
"1300508",2004,4.2025
"1300508",2005,4.58583333333333
"1300607",2001,7.005
"1300607",2002,7.03
"1300607",2003,7.06083333333333
"1300607",2004,7.05583333333333
"1300607",2005,7.19083333333333
"1300631",2001,5.6575
"1300631",2002,5.4125
"1300631",2003,5.71166666666667
"1300631",2004,5.49416666666667
"1300631",2005,5.70166666666667
"1300680",2001,4.39583333333333
"1300680",2002,3.91333333333333
"1300680",2003,4.31416666666667
"1300680",2004,4.24416666666667
"1300680",2005,4.60833333333333
"1300706",2001,5.6275
"1300706",2002,5.61
"1300706",2003,5.76416666666667
"1300706",2004,5.54
"1300706",2005,5.63166666666667
"1300805",2001,5.1475
"1300805",2002,4.82666666666667
"1300805",2003,5.19333333333333
"1300805",2004,5.065
"1300805",2005,5.2575
"1300839",2001,5.4875
"1300839",2002,5.415
"1300839",2003,5.51
"1300839",2004,5.2925
"1300839",2005,5.48416666666667
"1300904",2001,5.84416666666667
"1300904",2002,5.54333333333333
"1300904",2003,5.64916666666667
"1300904",2004,5.53666666666667
"1300904",2005,5.7975
"1301001",2001,6.735
"1301001",2002,6.57833333333333
"1301001",2003,6.61
"1301001",2004,6.52
"1301001",2005,6.72333333333333
"1301100",2001,4.86583333333333
"1301100",2002,4.6475
"1301100",2003,4.91416666666667
"1301100",2004,4.72083333333333
"1301100",2005,4.9325
"1301159",2001,4.5525
"1301159",2002,4.2625
"1301159",2003,4.54
"1301159",2004,4.40333333333333
"1301159",2005,4.59416666666667
"1301209",2001,6.045
"1301209",2002,5.905
"1301209",2003,6.01833333333333
"1301209",2004,5.87333333333333
"1301209",2005,5.97416666666667
"1301308",2001,5.68083333333333
"1301308",2002,5.5975
"1301308",2003,5.695
"1301308",2004,5.56833333333333
"1301308",2005,5.67666666666667
"1301407",2001,6.42833333333333
"1301407",2002,6.39916666666667
"1301407",2003,6.51666666666667
"1301407",2004,6.3875
"1301407",2005,6.43333333333333
"1301506",2001,6.20916666666667
"1301506",2002,6.16
"1301506",2003,6.35
