"code_muni","year","PREC_SUM"
"2707701",2002,195.985833333333
"2707701",2003,197.096666666667
"2707701",2004,198.9675
"2707701",2005,190.925
"2707800",2001,215.995
"2707800",2002,199.1575
"2707800",2003,206.179166666667
"2707800",2004,201.5675
"2707800",2005,187.396666666667
"2707909",2001,209.463333333333
"2707909",2002,191.273333333333
"2707909",2003,195.59
"2707909",2004,193.908333333333
"2707909",2005,181.683333333333
"2708006",2001,122.200833333333
"2708006",2002,108.2325
"2708006",2003,113.9675
"2708006",2004,121.641666666667
"2708006",2005,112.244166666667
"2708105",2001,186.153333333333
"2708105",2002,168.0475
"2708105",2003,169.638333333333
"2708105",2004,182.400833333333
"2708105",2005,176.435833333333
"2708204",2001,176.583333333333
"2708204",2002,161.8675
"2708204",2003,171.511666666667
"2708204",2004,172.123333333333
"2708204",2005,159.281666666667
"2708303",2001,188.57
"2708303",2002,171.6075
"2708303",2003,169.585833333333
"2708303",2004,184.191666666667
"2708303",2005,179.8625
"2708402",2001,109.471666666667
"2708402",2002,94.8383333333333
"2708402",2003,104.676666666667
"2708402",2004,109.150833333333
"2708402",2005,98.6491666666667
"2708501",2001,224.010833333333
"2708501",2002,205.4075
"2708501",2003,202.6925
"2708501",2004,204.814166666667
"2708501",2005,197.7275
"2708600",2001,215.995
"2708600",2002,199.1575
"2708600",2003,206.179166666667
"2708600",2004,201.5675
"2708600",2005,187.396666666667
"2708709",2001,211.814166666667
"2708709",2002,192.7625
"2708709",2003,193.124166666667
"2708709",2004,190.9625
"2708709",2005,179.011666666667
"2708808",2001,202.590833333333
"2708808",2002,185.163333333333
"2708808",2003,196.2125
"2708808",2004,192.940833333333
"2708808",2005,181.389166666667
"2708907",2001,214.895
"2708907",2002,197.043333333333
"2708907",2003,200.125
"2708907",2004,199.834166666667
"2708907",2005,189.75
"2708956",2001,106.176666666667
"2708956",2002,91.2766666666667
"2708956",2003,101.371666666667
"2708956",2004,105.976666666667
"2708956",2005,94.6675
"2709004",2001,182.8875
"2709004",2002,165.535833333333
"2709004",2003,171.528333333333
"2709004",2004,179.020833333333
"2709004",2005,174.23
"2709103",2001,182.8875
"2709103",2002,165.535833333333
"2709103",2003,171.528333333333
"2709103",2004,179.020833333333
"2709103",2005,174.23
"2709152",2001,202.590833333333
"2709152",2002,185.163333333333
"2709152",2003,196.2125
"2709152",2004,192.940833333333
"2709152",2005,181.389166666667
"2709202",2001,157.245833333333
"2709202",2002,143.1025
"2709202",2003,151.285833333333
"2709202",2004,154.368333333333
"2709202",2005,144.311666666667
"2709301",2001,197.574166666667
"2709301",2002,180.4075
"2709301",2003,180.491666666667
"2709301",2004,190.131666666667
"2709301",2005,184.768333333333
"2709400",2001,193.603333333333
"2709400",2002,175.28
"2709400",2003,178.506666666667
"2709400",2004,186.790833333333
"2709400",2005,182.501666666667
"1300029",2001,189.135833333333
"1300029",2002,186.09
"1300029",2003,186.248333333333
"1300029",2004,184.99
"1300029",2005,187.891666666667
"1300060",2001,208.7525
"1300060",2002,201.231666666667
"1300060",2003,206.135833333333
"1300060",2004,204.065
"1300060",2005,208.066666666667
"1300086",2001,166.39
"1300086",2002,162.9775
"1300086",2003,166.8925
"1300086",2004,160.229166666667
"1300086",2005,165.666666666667
"1300102",2001,169.849166666667
"1300102",2002,164.109166666667
"1300102",2003,171.176666666667
"1300102",2004,165.664166666667
"1300102",2005,171.040833333333
"1300144",2001,167.796666666667
"1300144",2002,154.8075
"1300144",2003,160.688333333333
"1300144",2004,161.078333333333
"1300144",2005,168.511666666667
"1300201",2001,215.011666666667
"1300201",2002,214.1725
"1300201",2003,213.8275
"1300201",2004,214.175
"1300201",2005,216.3825
"1300300",2001,144.406666666667
"1300300",2002,135.518333333333
"1300300",2003,144.789166666667
"1300300",2004,141.3725
"1300300",2005,147.700833333333
"1300409",2001,149.6925
"1300409",2002,150.618333333333
"1300409",2003,144.145
"1300409",2004,150.554166666667
"1300409",2005,152.19
"1300508",2001,131.355
"1300508",2002,116.6175
"1300508",2003,129.776666666667
"1300508",2004,128.104166666667
"1300508",2005,139.349166666667
"1300607",2001,212.395833333333
"1300607",2002,213.29
"1300607",2003,214.1475
"1300607",2004,214.796666666667
"1300607",2005,218.315
"1300631",2001,171.855833333333
"1300631",2002,164.67
"1300631",2003,173.446666666667
"1300631",2004,167.369166666667
"1300631",2005,173.004166666667
"1300680",2001,133.581666666667
"1300680",2002,119.194166666667
"1300680",2003,130.885833333333
"1300680",2004,129.4675
"1300680",2005,139.943333333333
"1300706",2001,170.566666666667
"1300706",2002,170.049166666667
"1300706",2003,174.851666666667
"1300706",2004,168.491666666667
"1300706",2005,170.578333333333
"1300805",2001,156.2275
"1300805",2002,146.765
"1300805",2003,157.525833333333
"1300805",2004,154.323333333333
"1300805",2005,159.49
"1300839",2001,166.904166666667
"1300839",2002,164.8425
"1300839",2003,167.379166666667
"1300839",2004,161.2825
"1300839",2005,166.545833333333
"1300904",2001,177.18
"1300904",2002,168.3
"1300904",2003,171.285833333333
"1300904",2004,168.619166666667
"1300904",2005,175.671666666667
"1301001",2001,204.405833333333
"1301001",2002,199.894166666667
"1301001",2003,200.560833333333
"1301001",2004,198.608333333333
"1301001",2005,203.993333333333
"1301100",2001,147.8875
"1301100",2002,141.420833333333
"1301100",2003,149.17
"1301100",2004,143.863333333333
"1301100",2005,149.7025
"1301159",2001,138.416666666667
"1301159",2002,129.745
"1301159",2003,137.804166666667
"1301159",2004,134.2125
"1301159",2005,139.45
"1301209",2001,183.645833333333
"1301209",2002,179.5525
"1301209",2003,182.695833333333
"1301209",2004,178.97
"1301209",2005,181.2625
"1301308",2001,172.756666666667
"1301308",2002,170.3425
"1301308",2003,173.014166666667
"1301308",2004,169.739166666667
"1301308",2005,172.450833333333
"1301407",2001,194.745833333333
"1301407",2002,193.996666666667
"1301407",2003,197.639166666667
"1301407",2004,194.240833333333
"1301407",2005,195.123333333333
"1301506",2001,188.076666666667
"1301506",2002,186.713333333333
"1301506",2003,192.5675
"1301506",2004,186.471666666667
"1301506",2005,187.28
"1301605",2001,183.374166666667
"1301605",2002,180.000833333333
"1301605",2003,181.906666666667
"1301605",2004,182.201666666667
"1301605",2005,180.925
"1301654",2001,195.365
"1301654",2002,194.788333333333
"1301654",2003,195.731666666667
"1301654",2004,195.205833333333
"1301654",2005,192.883333333333
"1301704",2001,172.275
"1301704",2002,161.864166666667
"1301704",2003,167.278333333333
"1301704",2004,163.794166666667
